date,time ,cfs,cms
1998.11.26,1,2410,"5,43"
1998.11.26,2,2390,"5,41"
1998.11.26,3,2270,"5,32"
1998.11.26,4,2190,"5,25"
1998.11.26,5,2020,"5,11"
1998.11.26,6,2010,"5,10"
1998.11.26,7,1890,"5,00"
1998.11.26,8,1890,"5,00"
1998.11.26,9,1880,"4,99"
1998.11.26,10,1690,"4,81"
1998.11.26,11,1600,"4,72"
1998.11.26,12,1550,"4,67"
1998.11.26,13,1430,"4,54"
1998.11.26,14,1380,"4,49"
1998.11.26,15,1290,"4,39"
1998.11.26,16,1210,"4,29"
1998.11.26,17,1190,"4,27"
1998.11.26,18,1130,"4,19"
1998.11.26,19,1100,"4,15"
1998.11.26,20,1030,"4,06"
1998.11.26,21,965,"3,97"
1998.11.26,22,965,"3,97"
1998.11.26,23,909,"3,89"
1998.11.26,24,868,"3,83"
1998.11.27,25,842,"3,79"
1998.11.27,26,810,"3,74"
1998.11.27,27,779,"3,69"
1998.11.27,28,754,"3,65"
1998.11.27,29,724,"3,60"
1998.11.27,30,707,"3,57"
1998.11.27,31,684,"3,53"
1998.11.27,32,661,"3,49"
1998.11.27,33,645,"3,46"
1998.11.27,34,629,"3,43"
1998.11.27,35,608,"3,39"
1998.11.27,36,592,"3,36"
1998.11.27,37,582,"3,34"
1998.11.27,38,566,"3,31"
1998.11.27,39,552,"3,28"
1998.11.27,40,537,"3,25"
1998.11.27,41,518,"3,21"
1998.11.27,42,513,"3,20"
1998.11.27,43,499,"3,17"
1998.11.27,44,485,"3,14"
1998.11.27,45,472,"3,11"
1998.11.27,46,459,"3,08"
1998.11.27,47,446,"3,05"
1998.11.27,48,433,"3,02"
1998.11.28,49,425,"3,00"
1998.11.28,50,417,"2,98"
1998.11.28,51,404,"2,95"
1998.11.28,52,392,"2,92"
1998.11.28,53,389,"2,91"
1998.11.28,54,377,"2,88"
1998.11.28,55,373,"2,87"
1998.11.28,56,366,"2,85"
1998.11.28,57,358,"2,83"
1998.11.28,58,351,"2,81"
1998.11.28,59,344,"2,79"
1998.11.28,60,336,"2,77"
1998.11.28,61,329,"2,75"
1998.11.28,62,322,"2,73"
1998.11.28,63,315,"2,71"
1998.11.28,64,312,"2,70"
1998.11.28,65,309,"2,69"
1998.11.28,66,302,"2,67"
1998.11.28,67,299,"2,66"
1998.11.28,68,292,"2,64"
1998.11.28,69,289,"2,63"
1998.11.28,70,283,"2,61"
1998.11.28,71,276,"2,59"
1998.11.28,72,276,"2,59"
1998.11.29,73,270,"2,57"
1998.11.29,74,267,"2,56"
1998.11.29,75,261,"2,54"
1998.11.29,76,258,"2,53"
1998.11.29,77,255,"2,52"
1998.11.29,78,252,"2,51"
1998.11.29,79,249,"2,50"
1998.11.29,80,246,"2,49"
1998.11.29,81,240,"2,47"
1998.11.29,82,238,"2,46"
1998.11.29,83,235,"2,45"
