ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
AbdulKa01 ,1978,Kareem,Abdul-Jabbar,west,N,1,28,11,NULL,NULL,8,3,NULL,NULL,NULL,NULL,12,5,2,1,NULL,NULL
AbdulKa01 ,1969,Kareem,Abdul-Jabbar,east,N,1,18,10,NULL,NULL,11,4,NULL,NULL,NULL,NULL,8,4,2,2,NULL,NULL
AbdulKa01 ,1988,Kareem,Abdul-Jabbar,west,N,1,13,4,NULL,NULL,3,0,NULL,NULL,NULL,NULL,6,1,2,2,NULL,NULL
AbdulKa01 ,1987,Kareem,Abdul-Jabbar,west,N,1,14,10,NULL,NULL,4,0,NULL,NULL,NULL,NULL,9,4,2,2,NULL,NULL
AbdulKa01 ,1986,Kareem,Abdul-Jabbar,west,N,1,27,10,NULL,NULL,8,3,NULL,NULL,NULL,NULL,9,4,2,2,NULL,NULL
AbdulKa01 ,1985,Kareem,Abdul-Jabbar,west,N,1,32,21,NULL,NULL,7,2,NULL,NULL,NULL,NULL,15,9,4,3,NULL,NULL
AbdulKa01 ,1984,Kareem,Abdul-Jabbar,west,N,1,23,11,NULL,NULL,6,1,NULL,NULL,NULL,NULL,10,5,2,1,NULL,NULL
AbdulKa01 ,1983,Kareem,Abdul-Jabbar,west,N,1,37,25,NULL,NULL,13,2,NULL,NULL,NULL,NULL,19,11,4,3,NULL,NULL
AbdulKa01 ,1982,Kareem,Abdul-Jabbar,west,N,1,32,20,NULL,NULL,6,5,NULL,NULL,NULL,NULL,12,9,3,2,NULL,NULL
AbdulKa01 ,1980,Kareem,Abdul-Jabbar,west,N,1,23,15,NULL,NULL,6,4,NULL,NULL,NULL,NULL,9,6,3,3,NULL,NULL
AbdulKa01 ,1979,Kareem,Abdul-Jabbar,west,N,1,30,17,NULL,NULL,16,9,NULL,NULL,NULL,NULL,17,6,6,5,NULL,NULL
AbdulKa01 ,1976,Kareem,Abdul-Jabbar,west,N,1,23,21,NULL,NULL,4,2,NULL,NULL,NULL,NULL,14,8,6,5,NULL,NULL
AbdulKa01 ,1975,Kareem,Abdul-Jabbar,west,N,1,36,22,NULL,NULL,5,3,NULL,NULL,NULL,NULL,16,9,4,4,NULL,NULL
AbdulKa01 ,1974,Kareem,Abdul-Jabbar,west,N,1,19,7,NULL,NULL,10,3,NULL,NULL,NULL,NULL,10,3,2,1,NULL,NULL
AbdulKa01 ,1973,Kareem,Abdul-Jabbar,west,N,1,23,14,NULL,NULL,8,6,NULL,NULL,NULL,NULL,11,7,0,0,NULL,NULL
AbdulKa01 ,1972,Kareem,Abdul-Jabbar,west,N,1,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AbdulKa01 ,1971,Kareem,Abdul-Jabbar,west,N,1,19,12,NULL,NULL,7,2,NULL,NULL,NULL,NULL,10,5,2,2,NULL,NULL
AbdulKa01 ,1970,Kareem,Abdul-Jabbar,west,N,1,30,19,NULL,NULL,14,1,NULL,NULL,NULL,NULL,16,8,4,3,NULL,NULL
AbdulKa01 ,1981,Kareem,Abdul-Jabbar,West,N,1,22,2,2,1,3,1,3,2,1,3,10,1,0,0,0,0
