ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABRAMJO01 ,1946,John,Abramovic,PIT,N,47,0,527,0,0,0,35,0,0,0,161,834,202,178,123,0,0
AUBUCCH01 ,1946,Chet,Aubuchon,DE1,N,30,0,65,0,0,0,20,0,0,0,46,91,23,35,19,0,0
BAKERNO01 ,1946,Norm,Baker,CH1,N,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BALTIHE01 ,1946,Herschel,Baltimore,ST1,N,58,0,138,0,0,0,16,0,0,0,98,263,53,69,32,0,0
BARRJO01  ,1946,John,Barr,ST1,N,58,0,295,0,0,0,54,0,0,0,164,438,124,79,47,0,0
BAUMHFR01 ,1946,Frankie,Baumholtz,CL1,N,45,0,631,0,0,0,54,0,0,0,93,856,255,156,121,0,0
BECKEMO01 ,1946,Moe,Becker,BOS,N,6,0,13,0,0,0,1,0,0,0,15,22,5,4,3,0,0
BECKEMO01 ,1946,Moe,Becker,DE1,N,20,0,41,0,0,0,15,0,0,0,33,107,19,10,3,0,0
BECKEMO01 ,1946,Moe,Becker,PIT,N,17,0,108,0,0,0,14,0,0,0,50,229,46,30,16,0,0
BECKEMO01 ,1946,Moe,Becker,TOT,N,43,0,162,0,0,0,30,0,0,0,98,358,70,44,22,0,0
BEENDHA01 ,1946,Hank,Beenders,PRO,N,58,0,713,0,0,0,37,0,0,0,196,1016,266,257,181,0,0
BIASAHA01 ,1946,Hank,Biasatti,TOR,N,6,0,6,0,0,0,0,0,0,0,3,5,2,4,2,0,0
BRIGHAL01 ,1946,Al,Brightman,BOS,N,58,0,567,0,0,0,60,0,0,0,115,870,223,193,121,0,0
BRINDAU01 ,1946,Audley,Brindley,NYK,N,12,0,34,0,0,0,1,0,0,0,16,49,14,7,6,0,0
BROWNHA01 ,1946,Harold,Brown,DE1,N,54,0,264,0,0,0,39,0,0,0,122,383,95,117,74,0,0
BROWNLE01 ,1946,Leon,Brown,CL1,N,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
BYRNETO01 ,1946,Tommy,Byrnes,NYK,N,60,0,453,0,0,0,35,0,0,0,90,583,175,160,103,0,0
BYTZUMI01 ,1946,Mike,Bytzura,PIT,N,60,0,210,0,0,0,31,0,0,0,108,356,87,72,36,0,0
CALLATO01 ,1946,Tom,Callahan,PRO,N,13,0,17,0,0,0,4,0,0,0,9,29,6,12,5,0,0
CALVEER01 ,1946,Ernie,Calverley,PRO,N,59,0,845,0,0,0,202,0,0,0,191,1102,323,283,199,0,0
CARLICH01 ,1946,Chet,Carlisle,CH1,N,51,0,256,0,0,0,17,0,0,0,136,373,100,92,56,0,0
CARLSDO01 ,1946,Don,Carlson,CH1,N,59,0,630,0,0,0,59,0,0,0,182,845,272,159,86,0,0
CLUGGMA01 ,1946,Marion,Cluggish,NYK,N,54,0,238,0,0,0,22,0,0,0,113,356,93,91,52,0,0
CONNOCH01 ,1946,Chuck,Connors,BOS,N,49,0,227,0,0,0,40,0,0,0,129,380,94,84,39,0,0
CORLEKE01 ,1946,Ken,Corley,CL1,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISLHA01 ,1946,Hal,Crisler,BOS,N,4,0,6,0,0,0,0,0,0,0,6,6,2,2,2,0,0
CUREAR01  ,1946,Armand,Cure,PRO,N,12,0,10,0,0,0,0,0,0,0,5,15,4,3,2,0,0
DALLMHO01 ,1946,Howie,Dallmar,PH1,N,60,0,528,0,0,0,104,0,0,0,141,710,199,203,130,0,0
DAVISAU01 ,1946,Aubrey,Davis,ST1,N,59,0,287,0,0,0,14,0,0,0,136,381,107,115,73,0,0
DAVISBI01 ,1946,Bill,Davis,CH1,N,47,0,84,0,0,0,11,0,0,0,92,146,35,41,14,0,0
DEHNEHE01 ,1946,Henry,Dehnert,PRO,N,10,0,14,0,0,0,0,0,0,0,8,15,6,6,2,0,0
DILLEBO01 ,1946,Bob,Dille,DE1,N,57,0,296,0,0,0,40,0,0,0,92,563,111,111,74,0,0
DOLLBO01  ,1946,Bob,Doll,ST1,N,60,0,522,0,0,0,22,0,0,0,167,768,194,206,134,0,0
DUFFYBO01 ,1946,Bob,Duffy,BOS,N,6,0,8,0,0,0,0,0,0,0,4,7,2,4,4,0,0
DUFFYBO01 ,1946,Bob,Duffy,CH1,N,11,0,11,0,0,0,0,0,0,0,13,25,5,3,1,0,0
DUFFYBO01 ,1946,Bob,Duffy,TOT,N,17,0,19,0,0,0,0,0,0,0,17,32,7,7,5,0,0
ELIASDO01 ,1946,Don,Eliason,BOS,N,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENDRENE01 ,1946,Ned,Endress,CL1,N,16,0,14,0,0,0,4,0,0,0,13,25,3,15,8,0,0
FABELJO01 ,1946,Joe,Fabel,PIT,N,30,0,63,0,0,0,2,0,0,0,64,96,25,26,13,0,0
FAUGHBO01 ,1946,Bob,Faught,CL1,N,51,0,343,0,0,0,33,0,0,0,97,478,141,106,61,0,0
FEERIBO01 ,1946,Bob,Feerick,WSC,N,55,0,926,0,0,0,69,0,0,0,142,908,364,260,198,0,0
FENLEBI01 ,1946,Bill,Fenley,BOS,N,33,0,85,0,0,0,16,0,0,0,59,138,31,45,23,0,0
FITZGBO01 ,1946,Bob,Fitzgerald,NYK,N,29,0,82,0,0,0,9,0,0,0,67,121,23,60,36,0,0
FITZGBO01 ,1946,Bob,Fitzgerald,TOT,N,60,0,221,0,0,0,35,0,0,0,153,362,70,130,81,0,0
FITZGBO01 ,1946,Bob,Fitzgerald,TO1,N,31,0,139,0,0,0,26,0,0,0,86,241,47,70,45,0,0
FITZGDI01 ,1946,Dick,Fitzgerald,TOR,N,60,0,277,0,0,0,40,0,0,0,89,495,118,60,41,0,0
FLEISJE01 ,1946,Jerry,Fleishman,PH1,N,59,0,263,0,0,0,40,0,0,0,101,372,97,127,69,0,0
FRANKNA01 ,1946,Nat,Frankel,PIT,N,6,0,16,0,0,0,3,0,0,0,6,27,4,12,8,0,0
FREYFR01  ,1946,Frido,Frey,NYK,N,23,0,88,0,0,0,14,0,0,0,37,97,28,56,32,0,0
FUCARFR01 ,1946,Frank,Fucarino,TOR,N,28,0,140,0,0,0,8,0,0,0,38,198,53,60,34,0,0
