ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
ABDELAL01,Alaa,Abdelnaby,F,1990,1994,6,10,240,Duke University,1968-06-24 00:00:00
ABDULKA01,Kareem,Abdul-jabbar,C,1969,1988,7,2,225,University of California - Los Angeles,1947-04-16 00:00:00
ABDULMA01,Mahmo,Abdul-rauf,G,1990,2000,6,1,162,Louisiana State University,1969-03-09 00:00:00
ABDULTA01,Tariq,Abdul-wahad,G,1997,2002,6,6,223,University of Michigan,1974-11-03 00:00:00
ABDURSH01,Shareef,Abdur-rahim,F,1996,2007,6,9,225,University of California,1976-12-11 00:00:00
ABERNTO01,Tom,Abernethy,F,1976,1980,6,7,220,Indiana University,1954-05-06 00:00:00
ABLEFO01,Forest,Able,G,1956,1956,6,3,180,Western Kentucky University,1932-07-27 00:00:00
ABRAMJO01,John,Abramovic,F,1946,1947,6,3,195,Winston-Salem State University,1919-02-09 00:00:00
ACKERAL01,Alex,Acker,G,2005,2005,6,5,185,Pepperdine University,1983-01-21 00:00:00
ACKERDO01,Donald,Ackerman,G,1953,1953,6,0,183,Long Island University,1930-09-04 00:00:00
ACRESMA01,Mark,Acres,C,1987,1992,6,11,220,Oral Roberts University,1962-11-15 00:00:00
ACTONCH01,Charles,Acton,F,1967,1967,6,6,210,Hillsdale College,1942-01-11 00:00:00
ADAMSAL01,Alvan,Adams,C,1975,1987,6,9,210,University of Oklahoma,1954-07-19 00:00:00
ADAMSDO01,Don,Adams,F,1970,1976,6,6,210,Northwestern University,1947-11-27 00:00:00
ADAMSGE01,George,Adams,F,1972,1974,6,5,210,Gardner-Webb University,1949-05-15 00:00:00
ADAMSMI01,Michael,Adams,G,1985,1995,5,10,162,Boston College,1963-01-19 00:00:00
AdamsHa01,Hassan,Adams,G,2006,2007,6,4,220,University of Arizona,1984-06-20 00:00:00
ADDISRA01,Rafael,Addison,F,1986,1996,6,7,215,Syracuse University,1964-07-22 00:00:00
ADELMRI01,Rick,Adelman,G,1968,1974,6,1,175,Loyola Marymount University,1946-06-16 00:00:00
AfflaAr01,Arron,Afflalo,G,2007,2007,6,5,215,University of California - Los Angeles,1985-11-15 00:00:00
AgerMa01,Maurice,Ager,G,2006,2007,6,5,202,Michigan State University,1984-02-09 00:00:00
AGUIRMA01,Mark,Aguirre,F,1981,1993,6,6,232,DePaul University,1959-12-10 00:00:00
AhearBl01,Blake,Ahearn,G,2007,2007,6,2,190,Missouri State University,1984-05-27 00:00:00
AINGEDA01,Danny,Ainge,G,1981,1994,6,4,175,Brigham Young University,1959-03-17 00:00:00
AITCHMA01,Matt,Aitch,F,1967,1967,6,7,230,Michigan State University,1944-09-21 00:00:00
AjincAl01,Alexis,Ajinca,C,2008,0,7,0,220,Not Available,1988-05-06 00:00:00
AKINHE01,Henry,Akin,C,1966,1968,6,10,225,Morehead State University,1944-07-31 00:00:00
ALARIMA01,Mark,Alarie,F,1986,1990,6,8,217,Duke University,1963-12-11 00:00:00
ALCORGA01,Gary,Alcorn,C,1959,1960,6,9,225,Fresno State University,1936-10-08 00:00:00
AldriLa01,LaMarcus,Aldridge,C,2006,2007,6,11,240,University of Texas,1985-07-19 00:00:00
ALEKSCH01,Chuck,Aleksinas,C,1984,1984,6,11,260,University of Connecticut,1959-02-26 00:00:00
ALEXACO01,Cory,Alexander,G,1995,2004,6,1,185,University of Virginia,1973-06-22 00:00:00
ALEXACO02,Courtney,Alexander,G,2000,2002,6,5,205,Fresno State University,1977-04-27 00:00:00
ALEXAGA01,Gary,Alexander,F,1993,1993,6,7,240,University of South Florida,1969-11-01 00:00:00
ALEXAVI01,Victor,Alexander,C,1991,2001,6,9,265,Iowa State University,1969-08-31 00:00:00
AlexaJo01,Joe,Alexander,F,2008,0,6,8,230,West Virginia University,1986-12-26 00:00:00
ALFORST01,Steve,Alford,G,1987,1990,6,2,183,Indiana University,1964-11-23 00:00:00
ALLENBI01,Bill,Allen,C,1967,1967,6,8,205,New Mexico State University,1945-01-01 00:00:00
ALLENBO01,Bob,Allen,F,1968,1968,6,9,205,Marshall University,1946-07-17 00:00:00
ALLENJE01,Jerome,Allen,G,1995,1995,6,4,184,University of Pennsylvania ,1973-01-28 00:00:00
ALLENLU01,Lucius,Allen,G,1969,1978,6,2,175,University of California - Los Angeles,1947-09-26 00:00:00
ALLENMA01,Malik,Allen,F,2001,2007,6,10,225,Villanova University,1978-06-27 00:00:00
ALLENRA01,Randy,Allen,F,1988,1989,6,8,220,Florida State University,1965-01-26 00:00:00
ALLENRA02,Ray,Allen,G,1996,2007,6,5,205,University of Connecticut,1975-07-20 00:00:00
ALLENWI01,Willie,Allen,F,1971,1971,6,6,230,University of Miami,1949-02-08 00:00:00
ALLENTO01,Tony,Allen,G,2004,2007,6,4,214,Oklahoma State University,1982-01-11 00:00:00
ALLISOD01,Odis,Allison,F,1971,1971,6,6,195,University of Nevada - Las Vegas,1949-10-02 00:00:00
AllreLa01,Lance,Allred,C,2007,2007,6,11,250,Weber State University,1981-02-02 00:00:00
ALLUMDA01,Darrell,Allums,F,1980,1980,6,8.5,220,University of California - Los Angeles,1958-09-12 00:00:00
AlmonMo01,Morris,Almond,G,2007,2007,6,6,225,Rice University,1985-02-02 00:00:00
ALSTODE01,Derrick,Alston,C,1994,1996,6,11,225,Duquesne University,1972-08-20 00:00:00
ALSTORA01,Rafer,Alston,G,1999,2007,6,2,171,Fresno State University,1976-07-24 00:00:00
ALUMAPE01,Peter,Aluma,C,1998,1998,6,10,260,Liberty University,1973-04-23 00:00:00
AMAECJO01,John,Amaechi,C,1995,2002,6,10,270,Pennsylvania State University,1970-11-26 00:00:00
AMAYAAS01,Ashraf,Amaya,F,1995,1996,6,8,230,Southern Illinois University,1971-11-23 00:00:00
AmundLo01,Louis,Amundson,F,2006,2007,6,9,225,University of Nevada - Las Vegas,1982-12-07 00:00:00
ANDERBO01,Bob,Anderegg,F,1959,1959,6,3,200,Michigan State University,1937-08-24 00:00:00
ANDERCH01,Chris,Andersen,F,2001,2007,6,10,230,Blinn College,1978-07-07 00:00:00
ANDERCL01,Cliff,Anderson,G,1967,1970,6,2,200,Saint Joseph's University,1944-09-07 00:00:00
ANDERDA01,Danw,Anderson,C,1967,1968,6,10,230,Augsburg College (MN),1943-02-15 00:00:00
ANDERDA02,Daniel,Anderson,G,1974,1975,6,2,185,University of Southern California,1951-01-01 00:00:00
ANDERDE01,Derek,Anderson,G,1997,2007,6,5,194,University of Kentucky,1974-07-18 00:00:00
ANDERDW01,Dwight,Anderson,G,1982,1982,6,3,185,University of Southern California,1960-12-28 00:00:00
ANDERER01,Eric,Anderson,F,1992,1993,6,9,220,Indiana University,1970-05-26 00:00:00
ANDERJE01,Jerome,Anderson,G,1975,1976,6,5,195,West Virginia University,1953-10-09 00:00:00
ANDERKE01,Kim,Anderson,F,1978,1978,6,7,200,University of Missouri,1955-05-12 00:00:00
ANDERKE02,Kenny,Anderson,G,1991,2004,6,0,168,Georgia Institute of Technology,1970-10-09 00:00:00
ANDERMI01,Mitchell,Anderson,F,1982,1984,6,8,195,Bradley University,1960-09-23 00:00:00
