team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
BOS,1946,N,1397,5133,811,1375,0,0,0,470,1202,0,0,0,0,0,3605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,22,38
CH1,1946,N,1879,6309,939,1550,0,0,0,436,1473,0,0,0,0,0,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4471,0,39,22
CL1,1946,N,1674,5699,903,1428,0,0,0,494,1246,0,0,0,0,0,4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,0,30,30
DE1,1946,N,1437,5843,923,1494,0,0,0,482,1351,0,0,0,0,0,3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918,0,20,40
NYK,1946,N,1465,5255,951,1438,0,0,0,457,1218,0,0,0,0,0,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3840,0,33,27
PH1,1946,N,1510,5384,1098,1596,0,0,0,343,1082,0,0,0,0,0,4118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912,0,35,25
PIT,1946,N,1345,4961,984,1507,0,0,0,272,1360,0,0,0,0,0,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4056,0,15,45
PRO,1946,N,1629,5582,1092,1666,0,0,0,481,1215,0,0,0,0,0,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4452,0,28,32
ST1,1946,N,1601,5877,862,1400,0,0,0,292,1234,0,0,0,0,0,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3910,0,38,23
TO1,1946,N,1515,5672,966,1552,0,0,0,463,1271,0,0,0,0,0,3996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,0,22,38
WSC,1946,N,1723,5794,982,1391,0,0,0,378,1144,0,0,0,0,0,4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3834,0,49,11
BA1,1947,N,1288,4283,994,1443,0,0,0,320,1080,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3384,0,28,20
BOS,1947,N,1241,4323,821,1246,0,0,0,364,1065,0,0,0,0,0,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,0,20,28
CH1,1947,N,1390,4683,860,1305,0,0,0,432,1138,0,0,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3514,0,28,20
NYK,1947,N,1355,4724,868,1291,0,0,0,376,1076,0,0,0,0,0,3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3427,0,26,22
PH1,1947,N,1279,4875,963,1349,0,0,0,335,934,0,0,0,0,0,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3461,0,27,21
PRO,1947,N,1268,4630,782,1275,0,0,0,347,1105,0,0,0,0,0,3318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3845,0,6,42
ST1,1947,N,1297,4551,838,1244,0,0,0,218,1050,0,0,0,0,0,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,0,29,19
WSC,1947,N,1336,4785,865,1203,0,0,0,305,1084,0,0,0,0,0,3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413,0,28,20
BA1,1948,N,1736,5162,1545,2053,0,0,0,1000,1730,0,0,0,0,0,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4932,0,29,31
BOS,1948,N,1706,5483,1181,1856,0,0,0,1135,1382,0,0,0,0,0,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4770,0,25,35
CH1,1948,N,1905,5750,1228,1775,0,0,0,1220,1731,0,0,0,0,0,5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,38,22
FTW,1948,N,1536,5370,1385,1979,0,0,0,1082,1722,0,0,0,0,0,4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650,0,22,38
