,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Free Kick Accuracy,Overall,Position,Position class,ID,VersionID
71672,37,51,57,62,49,44,35,57,60,69,65,67,58,68,82,72,68,67,68,74,63,56,55,48,57,65,64,14,14,6,11,14,44,62,CDM,Midfield,203979,203979001
195550,25,25,25,37,25,25,25,31,29,46,50,34,71,42,42,54,35,70,25,32,20,25,25,27,25,25,25,68,65,62,67,68,25,67,GK,Goalkeeper,164507,164507032
119189,56,33,53,69,30,55,46,66,72,73,67,74,58,71,74,56,70,74,35,72,68,69,68,67,56,60,60,12,6,7,14,10,29,64,CM,Midfield,183768,183768011
97807,37,11,65,54,12,27,18,37,51,63,71,62,58,58,41,77,72,74,17,63,61,24,47,27,56,65,57,6,9,8,9,8,19,62,CB,Defense,170027,170027010
177150,39,63,62,46,57,57,44,44,64,78,77,85,66,69,65,71,73,72,44,52,25,64,55,62,25,25,25,4,6,6,5,6,36,65,ST,Attack,190254,190254023
202392,36,26,82,60,29,45,53,56,58,50,55,55,73,44,31,82,62,78,25,82,68,40,33,38,73,71,71,10,9,15,5,10,23,73,CB,Defense,171017,171017019
119519,8,16,12,31,12,17,16,33,35,31,43,51,60,51,29,66,31,44,16,45,21,12,33,21,15,14,16,66,72,70,64,69,19,67,GK,Goalkeeper,179934,179934013
122356,57,56,57,71,49,64,51,64,68,69,68,66,62,73,56,61,75,66,58,59,61,47,68,46,58,59,56,8,12,9,11,10,36,64,CDM,Midfield,186157,186157011
141403,84,52,74,75,55,62,82,78,77,55,65,60,81,52,83,67,64,76,70,77,77,68,61,60,66,76,64,14,13,7,6,13,79,73,LB,Defense,25924,25924016
98300,61,56,44,70,59,82,73,64,80,73,66,74,63,78,54,49,52,53,64,41,56,61,76,66,37,35,32,11,8,12,15,5,67,69,CAM,Midfield,181815,181815006
71680,64,79,74,68,76,72,68,52,76,78,80,68,78,74,80,66,70,72,69,65,30,75,59,70,28,29,34,10,12,8,14,7,64,76,CF,Attack,149306,149306010
30797,32,21,64,42,46,43,38,38,46,63,54,62,62,20,54,41,63,69,52,57,68,56,49,57,63,62,22,15,22,38,22,22,31,66,CB,Defense,165888,165888005
194937,63,48,62,60,47,59,41,59,62,68,69,65,61,61,60,72,74,72,47,71,62,44,25,49,64,65,66,9,7,5,9,14,27,65,RB,Defense,198156,198156010
15891,42,51,90,64,14,57,11,48,81,84,88,36,76,32,84,74,82,89,53,90,89,86,34,82,89,87,10,11,21,48,21,21,70,87,CB,Defense,107715,107715004
206437,65,64,46,66,54,71,55,52,70,73,78,73,52,71,62,34,80,53,60,62,31,63,72,55,25,25,25,15,14,8,10,13,62,67,RM,Midfield,184785,184785024
68478,13,11,10,36,19,19,12,38,33,33,33,51,54,32,39,61,55,66,12,21,28,13,31,28,12,14,9,58,56,58,56,57,13,57,GK,Goalkeeper,202910,202910001
164960,76,62,49,76,67,78,84,72,78,73,69,76,70,71,75,54,68,68,72,61,51,67,72,65,43,48,47,7,14,9,8,10,81,73,CAM,Midfield,189595,189595021
137352,48,40,60,67,50,54,52,62,65,59,61,58,60,59,58,74,62,71,55,63,60,52,65,43,57,56,55,13,14,13,11,11,45,61,CM,Midfield,193837,193837007
36282,85,82,52,81,46,92,46,74,88,91,91,83,79,38,84,59,71,55,77,48,63,85,59,85,22,24,16,7,22,74,22,22,78,86,RM,Midfield,9014,9014007
1614,22,78,68,40,58,49,64,29,58,74,52,69,62,64,72,59,60,67,55,90,40,50,56,58,23,20,65,12,11,29,7,9,58,66,CF,Attack,52521,52521001
216649,34,22,73,54,29,44,79,59,59,55,55,60,69,54,79,68,54,76,76,77,79,32,33,40,77,77,75,8,9,9,6,13,67,73,CB,Defense,105866,105866031
132298,56,51,31,54,31,70,54,43,65,76,77,80,41,71,55,58,65,60,61,36,23,40,42,57,14,25,24,7,7,13,15,13,37,60,RM,Midfield,192813,192813009
45764,45,56,55,54,53,59,52,53,50,66,50,52,53,75,46,70,64,69,47,61,28,29,36,37,32,33,29,5,22,53,22,22,43,60,ST,Attack,189757,189757005
89602,53,47,77,71,43,49,48,63,64,69,74,61,73,77,63,82,75,81,37,83,72,33,56,48,76,75,70,11,9,11,6,6,54,75,CB,Defense,111022,111022012
129558,52,50,51,50,51,55,46,47,51,84,82,70,58,74,54,54,67,74,47,44,21,50,46,62,20,25,25,8,11,5,7,10,39,55,ST,Attack,192230,192230007
89593,18,9,6,37,18,6,12,11,12,38,47,52,61,28,6,54,36,39,7,28,17,10,31,13,6,8,5,63,62,67,63,71,10,76,GK,Goalkeeper,193107,193107006
212694,63,54,76,45,51,43,44,62,62,51,60,53,68,60,83,77,64,81,67,69,66,52,56,55,65,69,68,9,14,12,7,5,62,69,CB,Defense,135303,135303012
162775,58,67,73,61,71,74,64,49,75,68,68,62,73,65,77,80,72,77,63,81,33,81,64,72,36,35,29,5,13,7,6,10,58,73,ST,Attack,161832,161832023
20368,78,46,62,69,29,57,22,77,66,64,68,42,63,60,73,74,73,58,58,57,63,61,31,64,63,71,51,15,23,77,23,23,77,67,RB,Defense,139475,139475004
116429,55,35,70,55,39,44,49,60,54,54,65,55,64,67,61,76,53,77,45,76,80,34,34,41,78,80,76,8,7,15,10,7,45,74,CB,Defense,185163,185163012
30508,70,53,55,73,76,67,77,72,72,73,74,71,69,72,65,65,71,69,55,56,59,67,81,69,57,54,38,12,22,72,22,22,47,68,CM,Midfield,187736,187736001
102320,41,40,56,45,46,45,38,40,46,32,31,55,45,62,53,60,55,65,52,68,64,44,45,45,61,77,67,5,15,10,12,13,41,63,CB,Defense,191926,191926008
89259,64,66,55,82,52,73,64,78,77,67,65,74,73,83,58,65,64,56,60,67,67,72,80,51,46,57,42,13,10,10,11,5,63,72,CM,Midfield,135734,135734011
71477,73,58,51,64,56,80,76,65,74,77,78,74,73,64,73,62,71,56,62,56,41,74,68,62,27,28,28,8,10,15,7,8,55,74,RW,Attack,145269,145269009
140578,25,25,25,38,25,25,25,25,24,33,25,54,42,42,42,55,33,69,25,35,25,25,25,32,25,25,25,57,62,56,58,61,25,58,GK,Goalkeeper,199260,199260007
69631,64,54,65,40,54,35,51,47,61,66,64,49,45,59,62,68,60,66,60,67,51,56,46,44,59,63,64,13,14,12,15,9,36,61,CB,Defense,158837,158837009
106392,51,56,59,68,53,56,37,64,65,64,65,68,55,90,58,80,83,57,59,60,60,56,62,45,58,62,61,13,14,13,14,14,55,63,CM,Midfield,184607,184607006
162460,77,53,42,72,58,62,81,75,61,51,45,54,52,58,63,29,35,49,71,54,37,64,73,64,27,40,38,10,11,11,5,12,76,64,LW,Attack,177646,177646013
221851,61,67,67,63,64,65,68,57,66,67,69,70,64,65,63,78,69,80,66,77,41,67,51,69,30,44,45,15,13,10,5,15,55,67,ST,Attack,138156,138156039
125554,31,16,61,52,21,27,24,43,51,47,52,59,60,48,59,73,79,87,23,72,56,32,48,27,60,65,55,11,9,15,8,7,28,65,CB,Defense,176991,176991014
46741,82,45,66,72,51,68,59,70,74,67,72,68,69,77,82,71,73,81,82,75,79,78,78,76,74,73,64,12,22,70,22,22,83,72,RM,Midfield,6422,6422007
33423,64,51,36,66,52,62,46,61,58,61,66,61,55,67,38,69,68,55,46,45,54,55,40,59,29,22,18,4,22,61,22,22,54,61,RWM,Midfield,192169,192169001
13606,49,73,72,62,7,53,21,38,74,66,74,34,71,25,66,64,64,85,51,84,78,79,14,65,28,23,9,6,23,38,23,23,30,69,ST,Attack,12863,12863003
206974,53,58,76,73,57,62,34,71,73,55,54,58,67,49,77,72,50,82,63,74,74,57,68,62,69,77,71,6,6,15,11,15,41,72,CDM,Midfield,53030,53030026
229553,60,45,50,57,33,52,58,56,54,81,77,68,61,60,50,64,72,70,43,68,63,45,29,50,66,64,67,15,10,7,14,16,50,65,RB,Defense,189658,189658016
32607,21,21,26,21,66,26,59,59,21,67,54,74,62,71,28,58,64,66,21,23,45,48,65,58,21,21,29,52,57,59,51,48,15,60,GK,Goalkeeper,183311,183311002
